attention_implementation,case_id,claim_protocol,clean_logprob,margin,marker_present,pair_id,predicted_label,scorer_protocol,timestamp,trace_outcome,webshell_logprob
eager,529,label_pressure_expression_regulation_prefix_causal_v1,-0.0005388000281527638,8.375035430493881,True,529__marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:14.484589+00:00,Clean,-8.375574230522034
eager,529,label_pressure_expression_regulation_prefix_causal_v1,-3.7764534950256348,-3.749989530126186,True,529__marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:15.645438+00:00,Webshell,-0.02646396489944891
eager,529,label_pressure_expression_regulation_prefix_causal_v1,-0.00130425242241472,7.8750360169688065,False,529__no_marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:17.375164+00:00,Clean,-7.876340269391221
eager,529,label_pressure_expression_regulation_prefix_causal_v1,-2.938856601715088,-2.874992013008523,False,529__no_marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:18.525118+00:00,Webshell,-0.06386458870656497
eager,Ajax_PHP_Command_Shell,label_pressure_expression_regulation_prefix_causal_v1,-0.00039736481267027557,8.7501049776547,True,Ajax_PHP_Command_Shell__marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:24.229693+00:00,Clean,-8.750502342467371
eager,Ajax_PHP_Command_Shell,label_pressure_expression_regulation_prefix_causal_v1,-2.471618890762329,-2.3749718372037023,True,Ajax_PHP_Command_Shell__marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:29.867669+00:00,Webshell,-0.0966470535586268
eager,Ajax_PHP_Command_Shell,label_pressure_expression_regulation_prefix_causal_v1,-0.007326875347644091,5.125035966571886,False,Ajax_PHP_Command_Shell__no_marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:35.482716+00:00,Clean,-5.13236284191953
eager,Ajax_PHP_Command_Shell,label_pressure_expression_regulation_prefix_causal_v1,-1.4167171716690063,-1.124980181652063,False,Ajax_PHP_Command_Shell__no_marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:41.097877+00:00,Webshell,-0.2917369900169433
eager,Antichat_Shell,label_pressure_expression_regulation_prefix_causal_v1,-0.0009112972766160965,9.250120571115986,True,Antichat_Shell__marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:45.791957+00:00,Clean,-9.251031868392602
eager,Antichat_Shell,label_pressure_expression_regulation_prefix_causal_v1,-6.010214805603027,-5.9999803492828505,True,Antichat_Shell__marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:49.946417+00:00,Webshell,-0.010234456320176832
eager,Antichat_Shell,label_pressure_expression_regulation_prefix_causal_v1,-0.0008734225411899388,8.375073811759648,False,Antichat_Shell__no_marker,Clean,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:54.102398+00:00,Clean,-8.375947234300838
eager,Antichat_Shell,label_pressure_expression_regulation_prefix_causal_v1,-4.517219066619873,-4.499982092687787,False,Antichat_Shell__no_marker,Webshell,shared_scaffold_label_suffix_prefix_causal_v2,2026-07-27T14:59:58.257353+00:00,Webshell,-0.017236973932085675
